Term (EN),Translation (IT),Part of Speech,Description,Domain
Invest Armor,Avvolgere Armatura,noun,Feat,Feats
Investigator,Investigatore,noun,Feat,Feats
Iron Will,Volontà di Ferro,noun,Feat,Feats
Ironskin Chant,Canto della Pelle di Ferro,noun,Feat,Feats
Item Creation,Creazione Oggetto,adj,Feat type,Feats
Jack of All Trades,Factotum,noun,Feat,Feats
Karmic Strike,Colpo Karmico,noun,Feat,Feats
Keeper of Forbidden Lore,Custode di Conoscenze Proibite,noun,Feat,Feats
Kiai Shout,Grido Kiai,noun,Feat,Feats
Knight of Stars,Cavaliere delle Stelle,noun,Feat,Feats
Knockback,Abbattere,noun,Feat,Feats
Large and in Charge,Grosso e al Comando,noun,Feat,Feats
Lasting Inspiration,Ispirazione Duratura,noun,Feat,Feats
Lasting Life,Vita Perdurante,noun,Feat,Feats
Law Inviolate,Legge Inviolata,noun,Feat,Feats
Leadership,Autorità,noun,Feat,Feats
Leap Attack,Attacco in Salto,noun,Feat,Feats
Legendary Acrobat,Acrobata Leggendario,noun,Feat,Feats
Legendary Climber,Scalatore Leggendario,noun,Feat,Feats
Legendary Leaper,Saltatore Leggendario,noun,Feat,Feats
Legendary Rider,Cavalcatore Leggendario,noun,Feat,Feats
Legendary Tracker,Segugio Leggendario,noun,Feat,Feats
Life Drain,Risucchiare Vita,noun,Feat,Feats
Lifebond,Legame Vitale,noun,Feat,Feats
Lifesense,Percepire Vita,noun,Feat,Feats
Lightning Mace,Mazza Fulminea,noun,Feat,Feats
Lightning Reflexes,Riflessi Fulminei,noun,Feat,Feats
Lingering Breath,Soffio Persistente,noun,Feat,Feats
Lingering Song,Canto Persistente,noun,Feat,Feats
Lion's Pounce,Balzo del Leone,noun,Feat,Feats
Lord of the Uttercold,Signore del Freddo Estremo,noun,Feat,Feats
Lunatic Insight,Cognizione Lunatica,noun,Feat,Feats
Lyric Spell,Incantesimi Lirici,noun,Feat,Feats
Mad Faith,Fede Folle,noun,Feat,Feats
Mage Slayer,Uccisore di Maghi,noun,Feat,Feats
Magical Aptitude,Attitudine Magica,noun,Feat,Feats
Magical Beast Wild Shape,Forma Selvatica Bestia Magica,noun,Feat,Feats
Manyshot,Tiro Multiplo,noun,Feat,Feats
Markings of the Blessed,Macula del Benedetto,noun,Feat,Feats
Markings of the Hunter,Macula del Cacciatore,noun,Feat,Feats
Markings of the Magi,Macula del Mago,noun,Feat,Feats
Markings of the Maker,Macula del Creatore,noun,Feat,Feats
Markings of the Warrior,Macula del Guerriero,noun,Feat,Feats
Martial Weapon Proficiency,Competenza nelle Armi da Guerra,noun,Feat,Feats
Master of Knowledge,Maestro di Conoscenze,noun,Feat,Feats
Master Staff,Padronanza dei Bastoni,noun,Feat,Feats
Master Wand,Padronanza delle Bacchette,noun,Feat,Feats
Maximize Breath,Soffio Massimizzato,noun,Feat,Feats
Maximize Spell,Incantesimi Massimizzati,noun,Feat,Feats
Maximize Spell-like Ability,Capacità Magica Massimizzata,noun,Feat,Feats
Memory Eater,Divoratore di Ricordi,noun,Feat,Feats
Menacing Demeanor,Condotta Minacciosa,noun,Feat,Feats
Metamagic Song,Canto Metamagico,noun,Feat,Feats
Metaray,Metaraggio,noun,Feat,Feats
Mindsight,Vista Mentale,noun,Feat,Feats
Misleading Song,Canto Ingannatore,noun,Feat,Feats
Mobile Spell-Casting,Incantatore Mobile,noun,Feat,Feats
Mobility,Mobilità,noun,Feat,Feats
Monkey Grip,Presa della Scimmia,noun,Feat,Feats
Moradin's Smile,Sorriso di Moradin,noun,Feat,Feats
Mother Cyst,Castigo Distruttivo,noun,Feat,Feats
Mountain Warrior,Guerriero di Montagna,noun,Feat,Feats
Mounted Archery,Tirare in Sella,noun,Feat,Feats
Mounted Combat,Combattere in Sella,noun,Feat,Feats
Multiattack,Multiattacco,noun,Feat,Feats
Multisnatch,Ghermire Multiplo,noun,Feat,Feats
Multiweapon Fighting,Combattere con Più Armi,noun,Feat,Feats
Music of the Outer Spheres,Musica delle Sfere Esterne,noun,Feat,Feats
Natural Bond,Legame Naturale,noun,Feat,Feats
Natural Heavyweight,Pesantezza Naturale,noun,Feat,Feats
Natural Spell,Incantesimi Naturali,noun,Feat,Feats
Natural Trickster,Mistificatore Naturale,noun,Feat,Feats
Necromantic Might,Potenza Necromantica,noun,Feat,Feats
Necromantic Presence,Presenza Necromantica,noun,Feat,Feats
Necropolis Born,Nato nella Necropoli,noun,Feat,Feats
Necropotent,Necropotenza,noun,Feat,Feats
Necrotic Reserve,Riserva Necrotica,noun,Feat,Feats
Negative Energy Burst,Esplosione di Energia Negativa,noun,Feat,Feats
Negotiator,Negoziatore,noun,Feat,Feats
Nemesis,Nemesi,noun,Feat,Feats
Neraph Charge,Carica Neraph,noun,Feat,Feats
Neraph Throw,Lancio Neraph,noun,Feat,Feats
Net and Trident,Rete e Tridente,noun,Feat,Feats
Night Haunt,Ossessione Notturna,noun,Feat,Feats
Nimble Bones,Ossa Agili,noun,Feat,Feats
Nimble Fingers,Dita Sottili,noun,Feat,Feats
Nonlethal Substitution,Sostituzione Non Letale,noun,Feat,Feats
Nonverbal Spell,Incantesimi Non Verbali,noun,Feat,Feats
Nymph's Kiss,Bacio della Ninfa,noun,Feat,Feats
Oaken Resilience,Resilienza della Quercia,noun,Feat,Feats
Obscure Lore,Conoscenza Oscura,noun,Feat,Feats
Obtain Familiar,Ottenere Famiglio,noun,Feat,Feats
Ocular Spell,Incantesimi Oculari,noun,Feat,Feats
Oneiromancy,Oneiromanzia,noun,Feat,Feats
Open Minded,Mente Aperta,noun,Feat,Feats
Ordered Chaos,Caos Ordinato,noun,Feat,Feats
Otherworldly Countenance,Portamento Ultraterreno,noun,Feat,Feats
Overcome Weakness,Oltrepassare Punto Debole,noun,Feat,Feats
Overhead Thrust,Fendente Diretto,noun,Feat,Feats
Oversized Two-Weapon Fighting,Combattere con Due Armi Sovrabbondanti,noun,Feat,Feats
Overwhelming Critical,Critico Soverchiante,noun,Feat,Feats
Pain Touch,Tocco del Dolore,noun,Feat,Feats
Parrying Shield,Scudo da Parata,noun,Feat,Feats
Perfect Two-Weapon Fighting,Combattere con Due Armi Perfetto,noun,Feat,Feats
Persistent Spell,Incantesimi Persistenti,noun,Feat,Feats
Personal Touchstone,Piattaforma Personale,noun,Feat,Feats
Persuasive,Persuasivo,noun,Feat,Feats
Phalanx Fighting,Combattimento in Falange,noun,Feat,Feats
Pierce Magical Concealment,Penetrare Occultamento Magico,noun,Feat,Feats
Pierce Magical Protection,Penetrare Protezione Magica,noun,Feat,Feats
Pierce the Darkness,Perforare l'Oscurità,noun,Feat,Feats
Piercing Sight,Vista Penetrante,noun,Feat,Feats
Pin Shield,Bloccare Scudo,noun,Feat,Feats
Pious Defense,Difesa Pia,noun,Feat,Feats
Pious Soul,Anima Pia,noun,Feat,Feats
Pious Spellsurge,Impeto Magico Pio,noun,Feat,Feats
Planar Familiar,Famiglio Planare,noun,Feat,Feats
Planar Touchstone,Piattaforma Planare,noun,Feat,Feats
Planar Turning,Scacciare Planare,noun,Feat,Feats
Point Blank Shot,Tiro Ravvicinato,noun,Feat,Feats
Poison Healer,Veleno Curativo,noun,Feat,Feats
Poison Talons,Artigli Velenosi,noun,Feat,Feats
Polyglot,Poliglotta,noun,Feat,Feats
Positive Energy Resistance,Resistenza all'Energia Positiva,noun,Feat,Feats
Power Attack,Attacco Poderoso,noun,Feat,Feats
Power Climb,Ascesa Poderosa,noun,Feat,Feats
Power Critical,Critico Poderoso,noun,Feat,Feats
Power Dive,Picchiata Potente,noun,Feat,Feats
Power Throw,Lancio Poderoso,noun,Feat,Feats
Powerful Bite,Morso Poderoso,noun,Feat,Feats
Powerful Wild shape,Forma Selvatica Poderosa,noun,Feat,Feats
Practiced Spellcaster,Incantatore Provetto,noun,Feat,Feats
Precise Shot,Tiro Preciso,noun,Feat,Feats
Precocious Apprentice,Apprendista Precoce,noun,Feat,Feats
Precognitive Visions,Visioni Precognitive,noun,Feat,Feats
Primordial Scion,Retaggio Primordiale,noun,Feat,Feats
Profane Boost,Incantesimo Profano,noun,Feat,Feats
Profane Lifeleech,Succhiavita Profano,noun,Feat,Feats
Profane Vigor,Vigore Profano,noun,Feat,Feats
Prone Attack,Attacco Prono,noun,Feat,Feats
Protected Destiny,Destino Protetto,noun,Feat,Feats
Pure Soul,Anima Pura,noun,Feat,Feats
Purify Spell,Incantesimi Purificati,noun,Feat,Feats
Purify Spell Trigger,Incantesimi ad Attivazione Purificati,noun,Feat,Feats
Purify Spell-like Ability,Capacità Magica Purificata,noun,Feat,Feats
Quell the Profane,Fiaccare i Profani,noun,Feat,Feats
Quick Draw,Estrazione Rapida,noun,Feat,Feats
Quick Reconnoiter,Ricognizione Rapida,noun,Feat,Feats
Quick Recovery,Recupero Rapido,noun,Feat,Feats
Quick Staff,Bastone Rapido,noun,Feat,Feats
Quicken Breath,Soffio Veloce,noun,Feat,Feats
Quicken Manifestation,Manifestazione Rapida,noun,Feat,Feats
Quicken Spell,Incantesimi Rapidi,noun,Feat,Feats
Quicken Spell-Like Ability,Capacità Magica Rapida,noun,Feat,Feats
Quicken Turning,Scacciare Rapido,noun,Feat,Feats
Quickslime,Bava Rapida,noun,Feat,Feats
Radiant Fire,Fuoco Radioso,noun,Feat,Feats
Rampaging Bull Rush,Spingere Furioso,noun,Feat,Feats
Ranged Disarm,Disarmare a Distanza,noun,Feat,Feats
Ranged Pin,Bloccare a Distanza,noun,Feat,Feats
Ranged Smite Evil,Punire il Male a Distanza,noun,Feat,Feats
Ranged Spell Specialization,Specializzazione negli Incantesimi a Distanza,noun,Feat,Feats
Ranged Sunder,Spezzare a Distanza,noun,Feat,Feats
Rapid Reload,Ricarica Rapida,noun,Feat,Feats
Rapid Shot,Tiro Rapido,noun,Feat,Feats
Rapid Spell,Incantesimi Veloci,noun,Feat,Feats
Rapid Stunning,Stordire Rapido,noun,Feat,Feats
Rapidstrike,Colpo Rapido,noun,Feat,Feats
Raptor School,Scuola del Rapace,noun,Feat,Feats
Razing Strike,Colpo Dirompente,noun,Feat,Feats
Reach Bite,Morso con Portata,noun,Feat,Feats
Reach Spell,Incantesimi Lontani,noun,Feat,Feats
Reckless Rage,Ira Audace,noun,Feat,Feats
Reckless Wand Wielder,Bacchetta Implacabile,noun,Feat,Feats
Recover Breath,Soffio Spedito,noun,Feat,Feats
Rend,Squartare,noun,Feat,Feats
Repeat Spell,Incantesimi Ripetuti,noun,Feat,Feats
Resounding Blow,Colpo Risonante,noun,Feat,Feats
Resourceful Buyer,Commerciante Ingegnoso,noun,Feat,Feats
Ride-by Attack,Attacco in Sella,noun,Feat,Feats
Righteous Wrath,Giusta Ira,noun,Feat,Feats
Rock Hurling,Scagliare Rocce,noun,Feat,Feats
Roofwalker,Camminare sui Tetti,noun,Feat,Feats
Roots of the Mountain,Radici della Montagna,noun,Feat,Feats
Roundabout Kick,Calcio Rotatorio,noun,Feat,Feats
Run,Correre,noun,Feat,Feats
Sacred Boost,Incantesimo Sacro,noun,Feat,Feats
Sacred Healing,Guarigione Sacra,noun,Feat,Feats
Sacred Strike,Colpo Consacrato,noun,Feat,Feats
Sacred Vengeance,Vendetta Sacra,noun,Feat,Feats
Sacred Vitality,Vitalità Sacra,noun,Feat,Feats
Sacred Vow,Voto Sacro,noun,Feat,Feats
Sanctify Ki Strike,Colpo Ki Santificato,noun,Feat,Feats
Sanctify Martial Strike,Colpo Armato Santificato,noun,Feat,Feats
Sanctify Natural Attack,Attacco Naturale Santificato,noun,Feat,Feats
Sanctify Relic,Santificare Reliquia,noun,Feat,Feats
Sanctify Weapon,Arma Santificata,noun,Feat,Feats
Sanctum Spell,Incantesimi Solenni,noun,Feat,Feats
Savage Grapple,Lotta Selvaggia,noun,Feat,Feats
Scavenging Gullet,Stomaco Pattumiera,noun,Feat,Feats
Scribe Scroll,Scrivere Pergamene,noun,Feat,Feats
Sculpt Spell,Incantesimi Modellati,noun,Feat,Feats
Self-Sufficient,Autosufficiente,noun,Feat,Feats
Sense Weakness,Percepire Punto Debole,noun,Feat,Feats
Serpent's Venom,Veleno del Serpente,noun,Feat,Feats
Servant of the Heavens,Servitore dei Cieli,noun,Feat,Feats
Shadow Heritage,Eredità delle Ombre,noun,Feat,Feats
Shape Breath,Soffio Controllato,noun,Feat,Feats
Sharp-Shooting,Mira Precisa,noun,Feat,Feats
Shield Charge,Carica con lo Scudo,noun,Feat,Feats
Shield Proficiency,Competenza negli Scudi,noun,Feat,Feats
Shield Slam,Schianto con lo Scudo,noun,Feat,Feats
Shielded Axe,Ascia con Scudo,noun,Feat,Feats
Shock Wave,Onda d'Urto,noun,Feat,Feats
Shot on the Run,Tiro in Movimento,noun,Feat,Feats
Silencing Strike,Colpo Silenzioso,noun,Feat,Feats
Silent Spell,Incantesimi Silenziosi,noun,Feat,Feats
Simple Weapon Proficiency,Competenza nelle Armi Semplici,noun,Feat,Feats
Skill Focus,Focalizzazione sull'Abilità,noun,Feat,Feats
Skilled Telekinetic,Abile Telecineta,noun,Feat,Feats
Smatterings,Infarinatura,noun,Feat,Feats
Snatch,Ghermire,noun,Feat,Feats
Snatch and Swallow,Ghermire e Inghiottire,noun,Feat,Feats
Snatch Arrows,Afferrare Frecce,noun,Feat,Feats
Sociable Personality,Personalità Affabile,noun,Feat,Feats
Soul of the North,Anima del Nord,noun,Feat,Feats
Spectral Strike,Colpo Spettrale,noun,Feat,Feats
Spell Drain,Risucchiare Incantesimi,noun,Feat,Feats
Spell Focus,Incantesimi Focalizzati,noun,Feat,Feats
Spell Focus (Good),Incantesimi Focalizzati (Bene),noun,Feat,Feats
Spell Hand,Mano Incantata,noun,Feat,Feats
Spell Knowledge,Conoscenza di Incantesimi,noun,Feat,Feats
Spell Mastery,Padronanza Magica,noun,Feat,Feats
Spell Penetration,Penetrazione Magica,noun,Feat,Feats
Spellcasting Harrier,Assaltatore di Incantatori,noun,Feat,Feats
Spellrazor,Coltello Incantato,noun,Feat,Feats
Spinning Halberd,Alabarda Rotante,noun,Feat,Feats
Spirit Sense,Percezione degli Spiriti,noun,Feat,Feats
Spirited Charge,Carica Devastante,noun,Feat,Feats
Spit Poison,Sputare Veleno,noun,Feat,Feats
Split Breath,Soffio Suddiviso,noun,Feat,Feats
Split Ray,Dividere Raggio,noun,Feat,Feats
Spontaneous Healer,Guaritore Sponteneo,noun,Feat,Feats
Spontaneous Summoner,Evocatore Spontaneo,noun,Feat,Feats
Spontaneous Wounder,Piagatore Spontaneo,noun,Feat,Feats
Spreading Breath,Soffio Propagante,noun,Feat,Feats
Spring Attack,Attacco Rapido,noun,Feat,Feats
Spurn Death's Touch,Rifiutare il Tocco della Morte,noun,Feat,Feats
Staggering Strike,Colpo Barcollante,noun,Feat,Feats
Stalwart Planar Ally,Alleato Planare Vigoroso,noun,Feat,Feats
Starspawn,Progenie delle Stelle,noun,Feat,Feats
Steady Concentration,Concentrazione Assoluta,noun,Feat,Feats
Steady Mountaineer,Scalatore Determinato,noun,Feat,Feats
Stealthy,Furtivo,noun,Feat,Feats
Stigmata,Stimmate,noun,Feat,Feats
Still Spell,Incantesimi Immobili,noun,Feat,Feats
Stitched Flesh Familiar,Famiglio Ricucito,noun,Feat,Feats
Stone Form,Forma di Pietra,noun,Feat,Feats
Stone Rage,Ira di Pietra,noun,Feat,Feats
Stoneback,Fianchi di Pietra,noun,Feat,Feats
Stunning Fist,Pugno Stordente,noun,Feat,Feats
Subsonics,Musica Inconscia,noun,Feat,Feats
Subtle Sigil,Sigillo Impercettibile,noun,Feat,Feats
Sudden Empower,Incantesimi Potenziati Immediati,noun,Feat,Feats
Sudden Enlarge,Incantesimi Ingranditi Immediati,noun,Feat,Feats
Sudden Extend,Incantesimi Estesi Immediati,noun,Feat,Feats
Sudden Maximize,Incantesimi Massimizzati Immediati,noun,Feat,Feats
Sudden Quicken,Incantesimi Rapidi Immediati,noun,Feat,Feats
Sudden Silent,Incantesimi Silenziosi Immediati,noun,Feat,Feats
Sudden Still,Incantesimi Immoboli Immediati,noun,Feat,Feats
Sudden Widen,Incantesimi Ampliati Immediati,noun,Feat,Feats
Sun School,Scuola del Sole,noun,Feat,Feats
Suppress Weakness,Sopprimere Punto Debole,noun,Feat,Feats
Surge of Malevolence,Impeto di Malevolenza,noun,Feat,Feats
Swarmfighting,Combattimento Coordinato,noun,Feat,Feats
Swim like a Fish,Nuotare Come un Pesce,noun,Feat,Feats
Tactical,Tattico,adj,Feat type,Feats
Tactile Trapsmith,Cercatrappole Tattile,noun,Feat,Feats
Tail Constrict,Coda Stritolante,noun,Feat,Feats
Tail Sweep Knockdown,Spazzata di Coda Atterrante,noun,Feat,Feats
Tainted Fury,Furia Corrotta,noun,Feat,Feats
Tattoo Focus,Tatuaggio Focalizzato,noun,Feat,Feats
Tempest Breath,Soffio Tempestoso,noun,Feat,Feats
Terrifying Rage,Ira Terrificante,noun,Feat,Feats
Thicken Mucus,Ispessire Muco,noun,Feat,Feats
Thrall Bred,Schiavizzato,noun,Feat,Feats
Thrall to Demon,Servitore di un Demone,noun,Feat,Feats
Three Mountains,Tre Montagne,noun,Feat,Feats
Throw Anything,Scagliare Arma,noun,Feat,Feats
Titan Fighting,Combattere Titani,noun,Feat,Feats
Tomb-Born Fortitude,Tempra Sepolcrale,noun,Feat,Feats
Tomb-Born Resilience,Resilienza Sepolcrale,noun,Feat,Feats
Tomb-Born Vitality,Vitalità Sepolcrale,noun,Feat,Feats
Tomb-Tainted Soul,Anima Sepolcrale,noun,Feat,Feats
Touch of Golden Ice,Tocco di Ghiaccio Dorato,noun,Feat,Feats
Touch of Taint,Tocco di Corruzione,noun,Feat,Feats
Touch Spell Specialization,Specializzazione Negli Incantesimi a Contatto,noun,Feat,Feats
Toughness,Robustezza,noun,Feat,Feats
Tower Shield Proficiency,Competenza negli Scudi Torre,noun,Feat,Feats
Track,Seguire Tracce,noun,Feat,Feats
Trample,Travolgere,noun,Feat,Feats
Transdimensional Spell,Incantesimi Transdimensionali,noun,Feat,Feats
Trivial Knowledge,Conoscenze Triviali,noun,Feat,Feats
True Believer,Vero Credente,noun,Feat,Feats
Tunnel Fighting,Combattere nei Tunnel,noun,Feat,Feats
Tunnel Riding,Cavalcare nei Tunnel,noun,Feat,Feats
Turtle Dart,Morso della Testuggine,noun,Feat,Feats
Twin Spell,Incantesimi Raddoppiati,noun,Feat,Feats
Two-Weapon Defense,Difendere con Due Armi,noun,Feat,Feats
Two-Weapon Fighting,Combattere con Due Armi,noun,Feat,Feats
Undead Leadership,Autorità Non Morta,noun,Feat,Feats
Undead Mastery,Padronanza dei Non Morti,noun,Feat,Feats
Undying Fate,Fato Imperituro,noun,Feat,Feats
Unholy Strike,Colpo Sacrilego,noun,Feat,Feats
Unnatural Will,Volontà Innaturale,noun,Feat,Feats
Unquenchable Flame of Life,Inestinguibile Fiamma Vitale,noun,Feat,Feats
Urban Stealth,Furtività Urbana,noun,Feat,Feats
Urban Tracking,Seguire Tracce in Città,noun,Feat,Feats
Vampire Hunter,Cacciatori di Vampiri,noun,Feat,Feats
Versatile Performer,Intrattenitore Versatile,noun,Feat,Feats
Vestigial Wings,Ali Atrofizzate,noun,Feat,Feats
Vow of Abstinence,Voto di Astinenza,noun,Feat,Feats
Vow of Chastity,Voto di Castità,noun,Feat,Feats
Vow of Nonviolence,Voto di Non Violenza,noun,Feat,Feats
Vow of Obedience,Voto di Obbedienza,noun,Feat,Feats
Vow of Peace,Voto di Pace,noun,Feat,Feats
Vow of Poverty,Voto di Povertà,noun,Feat,Feats
Vow of Purity,Voto di Purezza,noun,Feat,Feats
Wandstrike,Colpo di Bacchetta,noun,Feat,Feats
Warped Mind,Mente Distorta,noun,Feat,Feats
Water Heritage,Eredità dell'Acqua,noun,Feat,Feats
Waterspawn,Progenie dell?Acqua,noun,Feat,Feats
Weakening Touch,Tocco Indebolente,noun,Feat,Feats
Weapon Finesse,Arma Accurata,noun,Feat,Feats
Weapon Focus,Focalizzazione sull'Arma,noun,Feat,Feats
Weapon Specialization,Specializzazione sull'Arma,noun,Feat,Feats
Whirlwind Attack,Attacco Turbinante,noun,Feat,Feats
Whirlwind Tail Sweep,Spazzata di Coda Turbinante,noun,Feat,Feats
Whispered Secrets,Segreti Sussurrati,noun,Feat,Feats
Widen Spell,Incantesimi Ampliati,noun,Feat,Feats
Wield Oversized Weapon,Impugnare Arma Sovrabbondante,noun,Feat,Feats
Wild,Selvaggio,adj,Feat type,Feats
Wild Talent,Dote Naturale,noun,Feat,Feats
Willing Deformity,Deformità Volontaria,noun,Feat,Feats
Wingover,Virare,noun,Feat,Feats
Wingstorm,Tempesta di Ali,noun,Feat,Feats
Wolverine's Rage,Ira del Ghiottone,noun,Feat,Feats
Words of Creation,Parole della Creazione,noun,Feat,Feats
Zen Archery,Arciere Zen,noun,Feat,Feats
Zone of Animation,Zona di Animazione,noun,Feat,Feats
Aberration,Aberrazione,noun,Creature type,Monsters
"Aboleth Mage, 10th-Level Wizard","Aboleth Mago, Mago di 10° Livello",noun,Monster,Monsters
Abyssal Greater Basilisk,Basilisco Superiore Abissale,noun,Monster,Monsters
Adult Arrowhawk,Arrowhawk Adulto,noun,Monster,Monsters
Adult Tojanida,Tojanida Adulto,noun,Monster,Monsters
Advancement,Avanzamento,,Monster stat block term,Monsters
"Air Elemental, Large","Elementale dell'Aria, Grande",noun,Monster,Monsters
"Air Elemental, Medium","Elementale dell'Aria, Medio",noun,Monster,Monsters
"Air Elemental, Small","Elementale dell'Aria, Piccolo",noun,Monster,Monsters
Angel,Angelo,noun,Monster,Monsters
Animal,Animale,noun,Creature type,Monsters
"Animated Object, Medium","Oggetto Animato, Medio",noun,Monster,Monsters
"Animated Object, Small","Oggetto Animato, Piccolo",noun,Monster,Monsters
"Animated Object, Tiny","Oggetto Animato, Minuscolo",noun,Monster,Monsters
Ape,Scimmia,noun,Monster,Monsters
Aquatic,Acquatico,adj,Creature subtype,Monsters
Assassin Vine,Vite Assassina,noun,Monster,Monsters
Augmented,Potenziato,adj,Creature subtype,Monsters
Average Salamander,Salamandra Media,noun,Monster,Monsters
Average Xorn,Xorn Medio,noun,Monster,Monsters
Baboon,Babbuino,noun,Monster,Monsters
Badger,Tasso,noun,Monster,Monsters
Basilisk,Basilisco,noun,Monster,Monsters
Bat,Pipistrello,noun,Monster,Monsters
"Bear, Black","Orso, Nero",noun,Monster,Monsters
"Bear, Brown","Orso, Bruno",noun,Monster,Monsters
"Bear, Polar","Orso, Polare",noun,Monster,Monsters
Bison,Bisonte,noun,Monster,Monsters
Black Pudding,Melma Nera,noun,Monster,Monsters
Blindsight,Vista Cieca,,Monster stat block term,Monsters
Blink Dog,Cane Intermittente,noun,Monster,Monsters
Boar,Cinghiale,noun,Monster,Monsters
Camel,Cammello,noun,Monster,Monsters
Cat,Gatto,noun,Monster,Monsters
"Celestial Charger, 7th-Level Cleric","Destriero Celestiale, Chierico di 7° Livello",noun,Monster,Monsters
Centaur,Centauro,noun,Monster,Monsters
Challenge Rating,Grado di Sfida,,Monster stat block term,Monsters
Chaos Beast,Bestia del Caos,noun,Monster,Monsters
Cheetah,Ghepardo,noun,Monster,Monsters
Cockatrice,Coccatrice,noun,Monster,Monsters
Construct,Costrutto,noun,Creature type,Monsters
CR,GS,,Monster stat block term,Monsters
Crocodile,Coccodrillo,noun,Monster,Monsters
"Crocodile, Giant","Coccodrillo, Gigante",noun,Monster,Monsters
Deathless,Non Morto Immortale,noun,Creature type,Monsters
Demon,Demone,noun,Monster,Monsters
Devil,Diavolo,noun,Monster,Monsters
Devourer,Divoratore,noun,Monster,Monsters
Digester,Digestore,noun,Monster,Monsters
Dinosaur,Dinosauro,noun,Monster,Monsters
Dire Animal,Animale Crudele,noun,Monster,Monsters
Dog,Cane,noun,Monster,Monsters
Donkey,Asino,noun,Monster,Monsters
Dragon,Drago,noun,Creature type,Monsters
Dragon Turtle,Drago Tartaruga,noun,Monster,Monsters
